# X,Y,Penetration Depth,Frames to Capture
0.00,0.00,3.00,30.00
0.50,0.00,3.00,30.00
1.00,0.00,3.00,30.00
1.50,0.00,3.00,30.00
2.00,0.00,3.00,30.00
2.50,0.00,3.00,30.00
3.00,0.00,3.00,30.00
3.50,0.00,3.00,30.00
4.00,0.00,3.00,30.00
4.50,0.00,3.00,30.00
5.00,0.00,3.00,30.00
5.50,0.00,3.00,30.00
6.00,0.00,3.00,30.00
6.50,0.00,3.00,30.00
7.00,0.00,3.00,30.00
7.50,0.00,3.00,30.00
8.00,0.00,3.00,30.00
8.50,0.00,3.00,30.00
9.00,0.00,3.00,30.00
9.50,0.00,3.00,30.00
10.00,0.00,3.00,30.00
10.50,0.00,3.00,30.00
11.00,0.00,3.00,30.00
11.50,0.00,3.00,30.00
12.00,0.00,3.00,30.00
12.50,0.00,3.00,30.00
13.00,0.00,3.00,30.00
13.50,0.00,3.00,30.00
14.00,0.00,3.00,30.00
14.50,0.00,3.00,30.00
15.00,0.00,3.00,30.00
15.50,0.00,3.00,30.00
16.00,0.00,3.00,30.00
16.50,0.00,3.00,30.00
17.00,0.00,3.00,30.00
17.50,0.00,3.00,30.00
18.00,0.00,3.00,30.00
18.50,0.00,3.00,30.00
19.00,0.00,3.00,30.00
0.00,0.50,3.00,30.00
0.50,0.50,3.00,30.00
1.00,0.50,3.00,30.00
1.50,0.50,3.00,30.00
2.00,0.50,3.00,30.00
2.50,0.50,3.00,30.00
3.00,0.50,3.00,30.00
3.50,0.50,3.00,30.00
4.00,0.50,3.00,30.00
4.50,0.50,3.00,30.00
5.00,0.50,3.00,30.00
5.50,0.50,3.00,30.00
6.00,0.50,3.00,30.00
6.50,0.50,3.00,30.00
7.00,0.50,3.00,30.00
7.50,0.50,3.00,30.00
8.00,0.50,3.00,30.00
8.50,0.50,3.00,30.00
9.00,0.50,3.00,30.00
9.50,0.50,3.00,30.00
10.00,0.50,3.00,30.00
10.50,0.50,3.00,30.00
11.00,0.50,3.00,30.00
11.50,0.50,3.00,30.00
12.00,0.50,3.00,30.00
12.50,0.50,3.00,30.00
13.00,0.50,3.00,30.00
13.50,0.50,3.00,30.00
14.00,0.50,3.00,30.00
14.50,0.50,3.00,30.00
15.00,0.50,3.00,30.00
15.50,0.50,3.00,30.00
16.00,0.50,3.00,30.00
16.50,0.50,3.00,30.00
17.00,0.50,3.00,30.00
17.50,0.50,3.00,30.00
18.00,0.50,3.00,30.00
18.50,0.50,3.00,30.00
19.00,0.50,3.00,30.00
0.00,1.00,3.00,30.00
0.50,1.00,3.00,30.00
1.00,1.00,3.00,30.00
1.50,1.00,3.00,30.00
2.00,1.00,3.00,30.00
2.50,1.00,3.00,30.00
3.00,1.00,3.00,30.00
3.50,1.00,3.00,30.00
4.00,1.00,3.00,30.00
4.50,1.00,3.00,30.00
5.00,1.00,3.00,30.00
5.50,1.00,3.00,30.00
6.00,1.00,3.00,30.00
6.50,1.00,3.00,30.00
7.00,1.00,3.00,30.00
7.50,1.00,3.00,30.00
8.00,1.00,3.00,30.00
8.50,1.00,3.00,30.00
9.00,1.00,3.00,30.00
9.50,1.00,3.00,30.00
10.00,1.00,3.00,30.00
10.50,1.00,3.00,30.00
11.00,1.00,3.00,30.00
11.50,1.00,3.00,30.00
12.00,1.00,3.00,30.00
12.50,1.00,3.00,30.00
13.00,1.00,3.00,30.00
13.50,1.00,3.00,30.00
14.00,1.00,3.00,30.00
14.50,1.00,3.00,30.00
15.00,1.00,3.00,30.00
15.50,1.00,3.00,30.00
16.00,1.00,3.00,30.00
16.50,1.00,3.00,30.00
17.00,1.00,3.00,30.00
17.50,1.00,3.00,30.00
18.00,1.00,3.00,30.00
18.50,1.00,3.00,30.00
19.00,1.00,3.00,30.00
0.00,1.50,3.00,30.00
0.50,1.50,3.00,30.00
1.00,1.50,3.00,30.00
1.50,1.50,3.00,30.00
2.00,1.50,3.00,30.00
2.50,1.50,3.00,30.00
3.00,1.50,3.00,30.00
3.50,1.50,3.00,30.00
4.00,1.50,3.00,30.00
4.50,1.50,3.00,30.00
5.00,1.50,3.00,30.00
5.50,1.50,3.00,30.00
6.00,1.50,3.00,30.00
6.50,1.50,3.00,30.00
7.00,1.50,3.00,30.00
7.50,1.50,3.00,30.00
8.00,1.50,3.00,30.00
8.50,1.50,3.00,30.00
9.00,1.50,3.00,30.00
9.50,1.50,3.00,30.00
10.00,1.50,3.00,30.00
10.50,1.50,3.00,30.00
11.00,1.50,3.00,30.00
11.50,1.50,3.00,30.00
12.00,1.50,3.00,30.00
12.50,1.50,3.00,30.00
13.00,1.50,3.00,30.00
13.50,1.50,3.00,30.00
14.00,1.50,3.00,30.00
14.50,1.50,3.00,30.00
15.00,1.50,3.00,30.00
15.50,1.50,3.00,30.00
16.00,1.50,3.00,30.00
16.50,1.50,3.00,30.00
17.00,1.50,3.00,30.00
17.50,1.50,3.00,30.00
18.00,1.50,3.00,30.00
18.50,1.50,3.00,30.00
19.00,1.50,3.00,30.00
0.00,2.00,3.00,30.00
0.50,2.00,3.00,30.00
1.00,2.00,3.00,30.00
1.50,2.00,3.00,30.00
2.00,2.00,3.00,30.00
2.50,2.00,3.00,30.00
3.00,2.00,3.00,30.00
3.50,2.00,3.00,30.00
4.00,2.00,3.00,30.00
4.50,2.00,3.00,30.00
5.00,2.00,3.00,30.00
5.50,2.00,3.00,30.00
6.00,2.00,3.00,30.00
6.50,2.00,3.00,30.00
7.00,2.00,3.00,30.00
7.50,2.00,3.00,30.00
8.00,2.00,3.00,30.00
8.50,2.00,3.00,30.00
9.00,2.00,3.00,30.00
9.50,2.00,3.00,30.00
10.00,2.00,3.00,30.00
10.50,2.00,3.00,30.00
11.00,2.00,3.00,30.00
11.50,2.00,3.00,30.00
12.00,2.00,3.00,30.00
12.50,2.00,3.00,30.00
13.00,2.00,3.00,30.00
13.50,2.00,3.00,30.00
14.00,2.00,3.00,30.00
14.50,2.00,3.00,30.00
15.00,2.00,3.00,30.00
15.50,2.00,3.00,30.00
16.00,2.00,3.00,30.00
16.50,2.00,3.00,30.00
17.00,2.00,3.00,30.00
17.50,2.00,3.00,30.00
18.00,2.00,3.00,30.00
18.50,2.00,3.00,30.00
19.00,2.00,3.00,30.00
0.00,2.50,3.00,30.00
0.50,2.50,3.00,30.00
1.00,2.50,3.00,30.00
1.50,2.50,3.00,30.00
2.00,2.50,3.00,30.00
2.50,2.50,3.00,30.00
3.00,2.50,3.00,30.00
3.50,2.50,3.00,30.00
4.00,2.50,3.00,30.00
4.50,2.50,3.00,30.00
5.00,2.50,3.00,30.00
5.50,2.50,3.00,30.00
6.00,2.50,3.00,30.00
6.50,2.50,3.00,30.00
7.00,2.50,3.00,30.00
7.50,2.50,3.00,30.00
8.00,2.50,3.00,30.00
8.50,2.50,3.00,30.00
9.00,2.50,3.00,30.00
9.50,2.50,3.00,30.00
10.00,2.50,3.00,30.00
10.50,2.50,3.00,30.00
